"eta (1/ms)","Points:0","Points:1","Points:2"
0.001093,3881.2,0,0
0.001093,3900,0,0
0.001093,3918.8,0,0
0.001093,3937.5,0,0
0.001093,3956.2,0,0
0.001093,3975,0,0
0.001093,3993.8,0,0
0.001093,4012.5,0,0
0.001093,4031.2,0,0
0.001093,4050,0,0
0.001093,4068.8,0,0
0.001093,4087.5,0,0
0.001093,4106.2,0,0
0.001093,4125,0,0
0.001093,4143.8,0,0
0.001093,4162.5,0,0
0.001093,4181.2,0,0
0.001093,4200,0,0
0.001093,4218.8,0,0
0.001093,4237.5,0,0
0.001093,4256.2,0,0
0.001093,4275,0,0
0.001093,4293.8,0,0
0.001093,4312.5,0,0
0.001093,4331.2,0,0
0.001093,4350,0,0
0.001093,4368.8,0,0
0.001093,4387.5,0,0
0.001093,4406.2,0,0
0.001093,4425,0,0
0.001093,4443.8,0,0
0.001093,4462.5,0,0
0.001093,4481.2,0,0
0.001093,4500,0,0
0.001093,4518.8,0,0
0.001093,4537.5,0,0
0.001093,4556.2,0,0
0.001093,4575,0,0
0.001093,4593.8,0,0
0.001093,4612.5,0,0
0.001093,4631.2,0,0
0.001093,4650,0,0
0.001093,4668.8,0,0
0.001093,4687.5,0,0
0.001093,4706.2,0,0
0.001093,4725,0,0
0.001093,4743.8,0,0
0.001093,4762.5,0,0
0.001093,4781.2,0,0
0.001093,4800,0,0
0.001093,4818.8,0,0
0.001093,4837.5,0,0
0.001093,4856.2,0,0
0.001093,4875,0,0
0.001093,4893.8,0,0
0.001093,4912.5,0,0
0.001093,4931.2,0,0
0.001093,4950,0,0
0.001093,4968.8,0,0
0.001093,4987.5,0,0
0.001093,5006.2,0,0
0.001093,5025,0,0
0.001093,5043.8,0,0
0.001093,5062.5,0,0
0.001093,5081.2,0,0
0.001093,5100,0,0
0.001093,5118.8,0,0
0.001093,5137.5,0,0
0.001093,5156.2,0,0
0.001093,5175,0,0
0.001093,5193.8,0,0
0.001093,5212.5,0,0
0.001093,5231.2,0,0
0.001093,5250,0,0
0.001093,5268.8,0,0
0.001093,5287.5,0,0
0.001093,5306.2,0,0
0.001093,5325,0,0
0.001093,5343.8,0,0
0.001093,5362.5,0,0
0.001093,5381.2,0,0
0.001093,5400,0,0
0.001093,5418.8,0,0
0.0010938,5437.5,0,0
0.0010961,5456.2,0,0
0.0010999,5475,0,0
0.0011052,5493.8,0,0
0.001112,5512.5,0,0
0.0011204,5531.2,0,0
0.0011303,5550,0,0
0.0011416,5568.8,0,0
0.0011544,5587.5,0,0
0.0011688,5606.2,0,0
0.0011845,5625,0,0
0.0012018,5643.8,0,0
0.0012204,5662.5,0,0
0.0012405,5681.2,0,0
0.0012621,5700,0,0
0.001285,5718.8,0,0
0.0013093,5737.5,0,0
0.001335,5756.2,0,0
0.0013621,5775,0,0
0.0013906,5793.8,0,0
0.0014203,5812.5,0,0
0.0014515,5831.2,0,0
0.0014839,5850,0,0
0.0015176,5868.8,0,0
0.0015527,5887.5,0,0
0.001589,5906.2,0,0
0.0016266,5925,0,0
0.0016655,5943.8,0,0
0.0017056,5962.5,0,0
0.001747,5981.2,0,0
0.0017896,6000,0,0
0.0018335,6018.8,0,0
0.0018786,6037.5,0,0
0.0018335,0,18.75,0
0.0017882,18.75,18.75,0
0.0017442,37.5,18.75,0
0.0017014,56.25,18.75,0
0.0016599,75,18.75,0
0.0016195,93.75,18.75,0
0.0015805,112.5,18.75,0
0.0015427,131.25,18.75,0
0.0015062,150,18.75,0
0.0014709,168.75,18.75,0
0.001437,187.5,18.75,0
0.0014044,206.25,18.75,0
0.0013731,225,18.75,0
0.0013431,243.75,18.75,0
0.0013145,262.5,18.75,0
0.0012872,281.25,18.75,0
0.0012613,300,18.75,0
0.0012368,318.75,18.75,0
0.0012137,337.5,18.75,0
0.001192,356.25,18.75,0
0.0011718,375,18.75,0
0.0011529,393.75,18.75,0
0.0011356,412.5,18.75,0
0.0011196,431.25,18.75,0
0.0011052,450,18.75,0
0.0010923,468.75,18.75,0
0.0010808,487.5,18.75,0
0.0010709,506.25,18.75,0
0.0010624,525,18.75,0
0.0010555,543.75,18.75,0
0.0010501,562.5,18.75,0
0.0010463,581.25,18.75,0
0.001044,600,18.75,0
0.0010432,618.75,18.75,0
0.0010432,637.5,18.75,0
0.0010432,656.25,18.75,0
0.0010432,675,18.75,0
0.0010432,693.75,18.75,0
0.0010432,712.5,18.75,0
0.0010432,731.25,18.75,0
0.0010432,750,18.75,0
0.0010432,768.75,18.75,0
0.0010432,787.5,18.75,0
0.0010432,806.25,18.75,0
0.0010432,825,18.75,0
0.0010432,843.75,18.75,0
0.0010432,862.5,18.75,0
0.0010432,881.25,18.75,0
0.0010432,900,18.75,0
0.0010432,918.75,18.75,0
0.0010432,937.5,18.75,0
0.0010432,956.25,18.75,0
0.0010432,975,18.75,0
0.0010432,993.75,18.75,0
0.0010432,1012.5,18.75,0
0.0010432,1031.2,18.75,0
0.0010432,1050,18.75,0
0.0010432,1068.8,18.75,0
0.0010432,1087.5,18.75,0
0.0010432,1106.2,18.75,0
0.0010432,1125,18.75,0
0.0010432,1143.8,18.75,0
0.0010432,1162.5,18.75,0
0.0010432,1181.2,18.75,0
0.0010432,1200,18.75,0
0.0010432,1218.8,18.75,0
0.0010432,1237.5,18.75,0
0.0010432,1256.2,18.75,0
0.0010432,1275,18.75,0
0.0010432,1293.8,18.75,0
0.0010432,1312.5,18.75,0
0.0010432,1331.2,18.75,0
0.0010432,1350,18.75,0
0.0010432,1368.8,18.75,0
0.0010432,1387.5,18.75,0
0.0010432,1406.2,18.75,0
0.0010432,1425,18.75,0
0.0010432,1443.8,18.75,0
0.0010432,1462.5,18.75,0
0.0010432,1481.2,18.75,0
0.0010432,1500,18.75,0
0.0010432,1518.8,18.75,0
0.0010432,1537.5,18.75,0
0.0010432,1556.2,18.75,0
0.0010432,1575,18.75,0
0.0010432,1593.8,18.75,0
0.0010432,1612.5,18.75,0
0.0010432,1631.2,18.75,0
0.0010432,1650,18.75,0
0.0010432,1668.8,18.75,0
0.0010432,1687.5,18.75,0
0.0010432,1706.2,18.75,0
0.0010432,1725,18.75,0
0.0010432,1743.8,18.75,0
0.0010432,1762.5,18.75,0
0.0010432,1781.2,18.75,0
0.0010432,1800,18.75,0
0.0010432,1818.8,18.75,0
0.0010432,1837.5,18.75,0
0.0010432,1856.2,18.75,0
0.0010432,1875,18.75,0
0.0010432,1893.8,18.75,0
0.0010432,1912.5,18.75,0
0.0010432,1931.2,18.75,0
0.0010432,1950,18.75,0
0.0010432,1968.8,18.75,0
0.0010432,1987.5,18.75,0
0.0010432,2006.2,18.75,0
0.0010432,2025,18.75,0
0.0010432,2043.8,18.75,0
0.0010432,2062.5,18.75,0
0.0010432,2081.2,18.75,0
0.0010432,2100,18.75,0
0.0010432,2118.8,18.75,0
0.0010432,2137.5,18.75,0
0.0010432,2156.2,18.75,0
0.0010432,2175,18.75,0
0.0010432,2193.8,18.75,0
0.0010432,2212.5,18.75,0
0.0010432,2231.2,18.75,0
0.0010432,2250,18.75,0
0.0010432,2268.8,18.75,0
0.0010432,2287.5,18.75,0
0.0010432,2306.2,18.75,0
0.0010432,2325,18.75,0
0.0010432,2343.8,18.75,0
0.0010432,2362.5,18.75,0
0.0010432,2381.2,18.75,0
0.0010432,2400,18.75,0
0.0010432,2418.8,18.75,0
0.0010432,2437.5,18.75,0
0.0010432,2456.2,18.75,0
0.0010432,2475,18.75,0
0.0010432,2493.8,18.75,0
0.0010432,2512.5,18.75,0
0.0010432,2531.2,18.75,0
0.0010432,2550,18.75,0
0.0010432,2568.8,18.75,0
0.0010432,2587.5,18.75,0
0.0010432,2606.2,18.75,0
0.0010432,2625,18.75,0
0.0010432,2643.8,18.75,0
0.0010432,2662.5,18.75,0
0.0010432,2681.2,18.75,0
0.0010432,2700,18.75,0
0.0010432,2718.8,18.75,0
0.0010432,2737.5,18.75,0
0.0010432,2756.2,18.75,0
0.0010432,2775,18.75,0
0.0010432,2793.8,18.75,0
0.0010432,2812.5,18.75,0
0.0010432,2831.2,18.75,0
0.0010432,2850,18.75,0
0.0010432,2868.8,18.75,0
0.0010432,2887.5,18.75,0
0.0010432,2906.2,18.75,0
0.0010432,2925,18.75,0
0.0010432,2943.8,18.75,0
0.0010432,2962.5,18.75,0
0.0010432,2981.2,18.75,0
0.0010432,3000,18.75,0
0.0010432,3018.8,18.75,0
0.0010432,3037.5,18.75,0
0.0010432,3056.2,18.75,0
0.0010432,3075,18.75,0
0.0010432,3093.8,18.75,0
0.0010432,3112.5,18.75,0
0.0010432,3131.2,18.75,0
0.0010432,3150,18.75,0
0.0010432,3168.8,18.75,0
0.0010432,3187.5,18.75,0
0.0010432,3206.2,18.75,0
0.0010432,3225,18.75,0
0.0010432,3243.8,18.75,0
0.0010432,3262.5,18.75,0
0.0010432,3281.2,18.75,0
0.0010432,3300,18.75,0
0.0010432,3318.8,18.75,0
0.0010432,3337.5,18.75,0
0.0010432,3356.2,18.75,0
0.0010432,3375,18.75,0
0.0010432,3393.8,18.75,0
0.0010432,3412.5,18.75,0
0.0010432,3431.2,18.75,0
0.0010432,3450,18.75,0
0.0010432,3468.8,18.75,0
0.0010432,3487.5,18.75,0
0.0010432,3506.2,18.75,0
0.0010432,3525,18.75,0
0.0010432,3543.8,18.75,0
0.0010432,3562.5,18.75,0
0.0010432,3581.2,18.75,0
0.0010432,3600,18.75,0
0.0010432,3618.8,18.75,0
0.0010432,3637.5,18.75,0
0.0010432,3656.2,18.75,0
0.0010432,3675,18.75,0
0.0010432,3693.8,18.75,0
0.0010432,3712.5,18.75,0
0.0010432,3731.2,18.75,0
0.0010432,3750,18.75,0
0.0010432,3768.8,18.75,0
0.0010432,3787.5,18.75,0
0.0010432,3806.2,18.75,0
0.0010432,3825,18.75,0
0.0010432,3843.8,18.75,0
0.0010432,3862.5,18.75,0
0.0010432,3881.2,18.75,0
0.0010432,3900,18.75,0
0.0010432,3918.8,18.75,0
0.0010432,3937.5,18.75,0
0.0010432,3956.2,18.75,0
0.0010432,3975,18.75,0
0.0010432,3993.8,18.75,0
0.0010432,4012.5,18.75,0
0.0010432,4031.2,18.75,0
0.0010432,4050,18.75,0
0.0010432,4068.8,18.75,0
0.0010432,4087.5,18.75,0
0.0010432,4106.2,18.75,0
0.0010432,4125,18.75,0
0.0010432,4143.8,18.75,0
0.0010432,4162.5,18.75,0
0.0010432,4181.2,18.75,0
0.0010432,4200,18.75,0
0.0010432,4218.8,18.75,0
0.0010432,4237.5,18.75,0
0.0010432,4256.2,18.75,0
0.0010432,4275,18.75,0
0.0010432,4293.8,18.75,0
0.0010432,4312.5,18.75,0
0.0010432,4331.2,18.75,0
0.0010432,4350,18.75,0
0.0010432,4368.8,18.75,0
0.0010432,4387.5,18.75,0
0.0010432,4406.2,18.75,0
0.0010432,4425,18.75,0
0.0010432,4443.8,18.75,0
0.0010432,4462.5,18.75,0
0.0010432,4481.2,18.75,0
0.0010432,4500,18.75,0
0.0010432,4518.8,18.75,0
0.0010432,4537.5,18.75,0
0.0010432,4556.2,18.75,0
0.0010432,4575,18.75,0
0.0010432,4593.8,18.75,0
0.0010432,4612.5,18.75,0
0.0010432,4631.2,18.75,0
0.0010432,4650,18.75,0
0.0010432,4668.8,18.75,0
0.0010432,4687.5,18.75,0
0.0010432,4706.2,18.75,0
0.0010432,4725,18.75,0
0.0010432,4743.8,18.75,0
0.0010432,4762.5,18.75,0
0.0010432,4781.2,18.75,0
0.0010432,4800,18.75,0
0.0010432,4818.8,18.75,0
0.0010432,4837.5,18.75,0
0.0010432,4856.2,18.75,0
0.0010432,4875,18.75,0
0.0010432,4893.8,18.75,0
0.0010432,4912.5,18.75,0
0.0010432,4931.2,18.75,0
0.0010432,4950,18.75,0
0.0010432,4968.8,18.75,0
0.0010432,4987.5,18.75,0
0.0010432,5006.2,18.75,0
0.0010432,5025,18.75,0
0.0010432,5043.8,18.75,0
0.0010432,5062.5,18.75,0
0.0010432,5081.2,18.75,0
0.0010432,5100,18.75,0
0.0010432,5118.8,18.75,0
0.0010432,5137.5,18.75,0
0.0010432,5156.2,18.75,0
0.0010432,5175,18.75,0
0.0010432,5193.8,18.75,0
0.0010432,5212.5,18.75,0
0.0010432,5231.2,18.75,0
0.0010432,5250,18.75,0
0.0010432,5268.8,18.75,0
0.0010432,5287.5,18.75,0
0.0010432,5306.2,18.75,0
0.0010432,5325,18.75,0
0.0010432,5343.8,18.75,0
0.0010432,5362.5,18.75,0
0.0010432,5381.2,18.75,0
0.0010432,5400,18.75,0
0.0010432,5418.8,18.75,0
0.001044,5437.5,18.75,0
0.0010463,5456.2,18.75,0
0.0010501,5475,18.75,0
0.0010555,5493.8,18.75,0
0.0010624,5512.5,18.75,0
0.0010709,5531.2,18.75,0
0.0010808,5550,18.75,0
0.0010923,5568.8,18.75,0
0.0011052,5587.5,18.75,0
0.0011196,5606.2,18.75,0
0.0011356,5625,18.75,0
0.0011529,5643.8,18.75,0
0.0011718,5662.5,18.75,0
0.001192,5681.2,18.75,0
0.0012137,5700,18.75,0
0.0012368,5718.8,18.75,0
0.0012613,5737.5,18.75,0
0.0012872,5756.2,18.75,0
0.0013145,5775,18.75,0
0.0013431,5793.8,18.75,0
0.0013731,5812.5,18.75,0
0.0014044,5831.2,18.75,0
0.001437,5850,18.75,0
0.0014709,5868.8,18.75,0
0.0015062,5887.5,18.75,0
0.0015427,5906.2,18.75,0
0.0015805,5925,18.75,0
0.0016195,5943.8,18.75,0
0.0016599,5962.5,18.75,0
0.0017014,5981.2,18.75,0
0.0017442,6000,18.75,0
0.0017882,6018.8,18.75,0
0.0018335,6037.5,18.75,0
0.0017896,0,37.5,0
0.0017442,18.75,37.5,0
0.0017,37.5,37.5,0
0.001657,56.25,37.5,0
0.0016153,75,37.5,0
0.0015748,93.75,37.5,0
0.0015355,112.5,37.5,0
0.0014976,131.25,37.5,0
0.0014608,150,37.5,0
0.0014254,168.75,37.5,0
0.0013913,187.5,37.5,0
0.0013585,206.25,37.5,0
0.001327,225,37.5,0
0.0012968,243.75,37.5,0
0.001268,262.5,37.5,0
0.0012405,281.25,37.5,0
0.0012145,300,37.5,0
0.0011898,318.75,37.5,0
0.0011665,337.5,37.5,0
0.0011446,356.25,37.5,0
0.0011242,375,37.5,0
0.0011052,393.75,37.5,0
0.0010877,412.5,37.5,0
0.0010716,431.25,37.5,0
0.001057,450,37.5,0
0.001044,468.75,37.5,0
0.0010324,487.5,37.5,0
0.0010224,506.25,37.5,0
0.0010138,525,37.5,0
0.0010069,543.75,37.5,0
0.0010014,562.5,37.5,0
0.00099754,581.25,37.5,0
0.00099521,600,37.5,0
0.00099443,618.75,37.5,0
0.00099443,637.5,37.5,0
0.00099443,656.25,37.5,0
0.00099443,675,37.5,0
0.00099443,693.75,37.5,0
0.00099443,712.5,37.5,0
0.00099443,731.25,37.5,0
0.00099443,750,37.5,0
0.00099443,768.75,37.5,0
0.00099443,787.5,37.5,0
0.00099443,806.25,37.5,0
0.00099443,825,37.5,0
0.00099443,843.75,37.5,0
0.00099443,862.5,37.5,0
0.00099443,881.25,37.5,0
0.00099443,900,37.5,0
0.00099443,918.75,37.5,0
0.00099443,937.5,37.5,0
0.00099443,956.25,37.5,0
0.00099443,975,37.5,0
0.00099443,993.75,37.5,0
0.00099443,1012.5,37.5,0
0.00099443,1031.2,37.5,0
0.00099443,1050,37.5,0
0.00099443,1068.8,37.5,0
0.00099443,1087.5,37.5,0
0.00099443,1106.2,37.5,0
0.00099443,1125,37.5,0
0.00099443,1143.8,37.5,0
0.00099443,1162.5,37.5,0
0.00099443,1181.2,37.5,0
0.00099443,1200,37.5,0
0.00099443,1218.8,37.5,0
0.00099443,1237.5,37.5,0
0.00099443,1256.2,37.5,0
0.00099443,1275,37.5,0
0.00099443,1293.8,37.5,0
0.00099443,1312.5,37.5,0
0.00099443,1331.2,37.5,0
0.00099443,1350,37.5,0
0.00099443,1368.8,37.5,0
0.00099443,1387.5,37.5,0
0.00099443,1406.2,37.5,0
0.00099443,1425,37.5,0
0.00099443,1443.8,37.5,0
0.00099443,1462.5,37.5,0
0.00099443,1481.2,37.5,0
0.00099443,1500,37.5,0
0.00099443,1518.8,37.5,0
0.00099443,1537.5,37.5,0
0.00099443,1556.2,37.5,0
0.00099443,1575,37.5,0
0.00099443,1593.8,37.5,0
0.00099443,1612.5,37.5,0
0.00099443,1631.2,37.5,0
0.00099443,1650,37.5,0
0.00099443,1668.8,37.5,0
0.00099443,1687.5,37.5,0
0.00099443,1706.2,37.5,0
0.00099443,1725,37.5,0
0.00099443,1743.8,37.5,0
0.00099443,1762.5,37.5,0
0.00099443,1781.2,37.5,0
0.00099443,1800,37.5,0
0.00099443,1818.8,37.5,0
0.00099443,1837.5,37.5,0
0.00099443,1856.2,37.5,0
0.00099443,1875,37.5,0
0.00099443,1893.8,37.5,0
0.00099443,1912.5,37.5,0
0.00099443,1931.2,37.5,0
0.00099443,1950,37.5,0
0.00099443,1968.8,37.5,0
0.00099443,1987.5,37.5,0
0.00099443,2006.2,37.5,0
0.00099443,2025,37.5,0
0.00099443,2043.8,37.5,0
0.00099443,2062.5,37.5,0
0.00099443,2081.2,37.5,0
0.00099443,2100,37.5,0
0.00099443,2118.8,37.5,0
0.00099443,2137.5,37.5,0
0.00099443,2156.2,37.5,0
0.00099443,2175,37.5,0
0.00099443,2193.8,37.5,0
0.00099443,2212.5,37.5,0
0.00099443,2231.2,37.5,0
0.00099443,2250,37.5,0
0.00099443,2268.8,37.5,0
0.00099443,2287.5,37.5,0
0.00099443,2306.2,37.5,0
0.00099443,2325,37.5,0
0.00099443,2343.8,37.5,0
0.00099443,2362.5,37.5,0
0.00099443,2381.2,37.5,0
0.00099443,2400,37.5,0
0.00099443,2418.8,37.5,0
0.00099443,2437.5,37.5,0
0.00099443,2456.2,37.5,0
0.00099443,2475,37.5,0
0.00099443,2493.8,37.5,0
0.00099443,2512.5,37.5,0
0.00099443,2531.2,37.5,0
0.00099443,2550,37.5,0
0.00099443,2568.8,37.5,0
0.00099443,2587.5,37.5,0
0.00099443,2606.2,37.5,0
0.00099443,2625,37.5,0
0.00099443,2643.8,37.5,0
0.00099443,2662.5,37.5,0
