"cosHig","Points:0","Points:1","Points:2"
0.95721,1575,0,0
0.95925,1593.8,0,0
0.96124,1612.5,0,0
0.9632,1631.2,0,0
0.96511,1650,0,0
0.96698,1668.8,0,0
0.9688,1687.5,0,0
0.97058,1706.2,0,0
0.97232,1725,0,0
0.97401,1743.8,0,0
0.97565,1762.5,0,0
0.97724,1781.2,0,0
0.97879,1800,0,0
0.98029,1818.8,0,0
0.98173,1837.5,0,0
0.98313,1856.2,0,0
0.98447,1875,0,0
0.98577,1893.8,0,0
0.98701,1912.5,0,0
0.98819,1931.2,0,0
0.98933,1950,0,0
0.9904,1968.8,0,0
0.99143,1987.5,0,0
0.9924,2006.2,0,0
0.99331,2025,0,0
0.99416,2043.8,0,0
0.99496,2062.5,0,0
0.9957,2081.2,0,0
0.99638,2100,0,0
0.99701,2118.8,0,0
0.99758,2137.5,0,0
0.99808,2156.2,0,0
0.99853,2175,0,0
0.99892,2193.8,0,0
0.99925,2212.5,0,0
0.99952,2231.2,0,0
0.99973,2250,0,0
0.99988,2268.8,0,0
0.99997,2287.5,0,0
1,2306.2,0,0
0.99997,2325,0,0
0.99988,2343.8,0,0
0.99973,2362.5,0,0
0.99952,2381.2,0,0
0.99925,2400,0,0
0.99892,2418.8,0,0
0.99853,2437.5,0,0
0.99808,2456.2,0,0
0.99758,2475,0,0
0.99701,2493.8,0,0
0.99638,2512.5,0,0
0.9957,2531.2,0,0
0.99496,2550,0,0
0.99416,2568.8,0,0
0.99331,2587.5,0,0
0.9924,2606.2,0,0
0.99143,2625,0,0
0.9904,2643.8,0,0
0.98933,2662.5,0,0
0.98819,2681.2,0,0
0.98701,2700,0,0
0.98577,2718.8,0,0
0.98447,2737.5,0,0
0.98313,2756.2,0,0
0.98173,2775,0,0
0.98029,2793.8,0,0
0.97879,2812.5,0,0
0.97724,2831.2,0,0
0.97565,2850,0,0
0.97401,2868.8,0,0
0.97232,2887.5,0,0
0.97058,2906.2,0,0
0.9688,2925,0,0
0.96698,2943.8,0,0
0.96511,2962.5,0,0
0.9632,2981.2,0,0
0.96124,3000,0,0
0.95925,3018.8,0,0
0.95721,3037.5,0,0
0.95514,3056.2,0,0
0.95302,3075,0,0
0.95087,3093.8,0,0
0.94868,3112.5,0,0
0.94646,3131.2,0,0
0.9442,3150,0,0
0.94191,3168.8,0,0
0.93958,3187.5,0,0
0.93722,3206.2,0,0
0.93483,3225,0,0
0.93241,3243.8,0,0
0.92996,3262.5,0,0
0.92748,3281.2,0,0
0.92497,3300,0,0
0.92244,3318.8,0,0
0.91988,3337.5,0,0
0.9173,3356.2,0,0
0.91469,3375,0,0
0.91205,3393.8,0,0
0.9094,3412.5,0,0
0.90672,3431.2,0,0
0.90402,3450,0,0
