Cores Used,Runtime pre forward,Runtime forward,Runtime total
40,36.55581760406494,666.9633865356445,703.0348110198975
30,36.272324323654175,831.7448551654816,867.1293888092041
20,37.556567907333374,1188.0630872249603,1225.3345086574554
15,39.0398907661438,1562.700074672699,1600.888345003128
10,38.62554669380188,2089.359314441681,2127.857751607895
5,50.51794075965881,4294.0895383358,4343.523963928223

Cores Used,Runtime pre forward,Runtime forward,Runtime total
40,42.68646597862244,661.788684129715,704.0344297885895
30,36.74817156791687,820.4462440013885,856.2996461391449
20,37.0566132068634,1164.3955035209656,1201.1293776035309
15,38.510701417922974,1517.3705337047577,1555.5230677127838
10,38.9576313495636,2152.8143668174744,2191.35262966156
5,45.37726712226868,4186.835275888443,4231.718212127686

Cores Used,Runtime pre forward,Runtime forward,Runtime total
40,44.245161056518555,661.1032140254974,704.6815731525421
30,36.588675022125244,810.6684374809265,846.3902587890625
20,37.51181936264038,1164.5505874156952,1201.774741411209
15,42.49206805229187,1611.428482055664,1653.1551349163055
10,38.69876146316528,2121.588337659836,2160.128007411957
5,45.81583380699158,4279.695373296738,4324.194238424301

Cores Used,Runtime pre forward,Runtime forward,Runtime total
40,42.8047354221344,693.8558719158173,736.016679763794
30,41.19021534919739,822.2679216861725,862.5174012184143
20,37.198652029037476,1188.1573123931885,1225.118096113205
15,38.5210497379303,1548.5080103874207,1586.1242446899414
10,39.306708097457886,2161.941438436508,2200.976863384247
5,44.504101514816284,4215.671906232834,4259.765118360519
