dt,h,e1,e2,status
0.0001,0.025,1.935904e-08,1.456845e-08,Success
0.0001,0.05,1.935909e-08,1.456846e-08,Success
0.0001,0.1,1.935333e-08,1.456966e-08,Success
0.0001,0.5,1.786389e-08,1.425244e-08,Success
